Gene_ID	level	Log2FC	protein_ID	ecNum	definition	catalyticActivity	cofactors	associatedDiseases	pathway	pathway_class	pathway_type	transcript_ID
gene_1395	11.580356351778	2.44326064416496	1979963	1.10.3.3	L-ascorbate oxidase.	2 L-ascorbate + O(2) = 2 dehydroascorbate + 2 H(2)O.	Copper.	\N	Ascorbate and aldarate metabolism	Carbohydrate Metabolism	METABOLIC	1980217
gene_1505	67.4790755367317	2.40117575847418	1980071	3.4.11.15	Lysyl aminopeptidase.	Release of N-terminal lysine.	Cobalt.	\N	\N	\N	\N	1980325
gene_2733	5.16630224614937	2.17158264895453	1981302	3.4.24.-	Metalloendopeptidases.	\N	\N	\N	\N	\N	\N	1981556
gene_3464	4.13073736022425	2.85241686681281	1982037	3.1.1.74	Cutinase.	Cutin + H(2)O = cutin monomers.	\N	\N	\N	\N	\N	1982291
gene_3669	15.45433146232	2.24811620099401	1982242	3.1.3.1	Alkaline phosphatase.	An orthophosphoric monoester + H(2)O = an alcohol + phosphate.	Zinc; Magnesium.	Hypophosphatasia, adult; MIM:146300. Hypophosphatasia, childhood; MIM:241510. Hypophosphatasia, infantile; MIM:214500.	Folate biosynthesis	Metabolism of Cofactors and Vitamins	METABOLIC	1982496
gene_3669	15.45433146232	2.24811620099401	1982242	3.1.3.1	Alkaline phosphatase.	An orthophosphoric monoester + H(2)O = an alcohol + phosphate.	Zinc; Magnesium.	Hypophosphatasia, adult; MIM:146300. Hypophosphatasia, childhood; MIM:241510. Hypophosphatasia, infantile; MIM:214500.	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC	1982496
gene_3669	15.45433146232	2.24811620099401	1982242	3.1.3.1	Alkaline phosphatase.	An orthophosphoric monoester + H(2)O = an alcohol + phosphate.	Zinc; Magnesium.	Hypophosphatasia, adult; MIM:146300. Hypophosphatasia, childhood; MIM:241510. Hypophosphatasia, infantile; MIM:214500.	gamma-Hexachlorocyclohexane degradation	Biodegradation of Xenobiotics	METABOLIC	1982496
gene_4816	12.9039431567024	2.14318954900336	1983398	1.97.1.4	Formate acetyltransferase activating enzyme.	S-adenosyl-L-methionine + dihydroflavodoxin + [formate acetyltransferase]-glycine = 5'-deoxyadenosine + methionine + flavodoxin + [formate acetyltransferase]-glycine-2-yl radical.	Iron-sulfur.	\N	\N	\N	\N	1983652
gene_5164	7.84129009234658	2.21330372520464	1983742	3.6.4.-	Acting on acid anhydrides; involved in cellular and	\N	\N	\N	\N	\N	\N	1983996
gene_6065	2.28156173249615	2.01887205740555	1984649	2.5.1.18	Glutathione transferase.	RX + glutathione = HX + R-S-glutathione.	\N	\N	Glutathione metabolism	Metabolism of Other Amino Acids	METABOLIC	1984903
gene_6279	28.0054309135167	3.21511401073053	1984860	3.1.27.3	Ribonuclease T1.	Two-stage endonucleolytic cleavage to 3'-phosphomononucleotides and 3'-phosphooligonucleotides ending in G-P with 2',3'-cyclic phosphate intermediates.	\N	\N	\N	\N	\N	1985114
gene_7021	18.8631173913884	2.49944315690821	1985607	3.1.2.-	Thiolester hydrolases.	\N	\N	\N	Benzoate degradation via CoA ligation	Biodegradation of Xenobiotics	METABOLIC	1985861
gene_7156	11.4942021397702	2.1093725610907	1985741	3.2.1.4	Cellulase.	Endohydrolysis of 1,4-beta-D-glucosidic linkages in cellulose.	\N	\N	Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC	1985995
gene_7794	13.4359349743561	2.27186722313068	1986379	3.1.4.-	Phosphoric diester hydrolases.	\N	\N	\N	Aminosugars metabolism	Metabolism of Complex Carbohydrates	METABOLIC	1986633
gene_7887	3.41506382243436	2.2351086557819	1986472	3.6.4.-	Acting on acid anhydrides; involved in cellular and	\N	\N	\N	\N	\N	\N	1986726
gene_8470	5.73653342163213	2.052227746331	1987057	1.14.13.8	Dimethylaniline monooxygenase (N-oxide forming).	N,N-dimethylaniline + NADPH + O(2) = N,N-dimethylaniline N-oxide + NADP(+) + H(2)O.	FAD.	Trimethylaminuria; MIM:602079,	\N	\N	\N	1987311
gene_8584	4.58524631249178	2.07413493230133	1987172	3.7.1.5	Acylpyruvate hydrolase.	A 3-acylpyruvate + H(2)O = a fatty acid anion + pyruvate.	\N	\N	Tyrosine metabolism	Amino Acid Metabolism	METABOLIC	1987426
