Gene_ID	Level.x	Level.y	protein_ID	ecNum	definition	catalyticActivity	cofactors	associatedDiseases	pathway	pathway_class	pathway_type	transcript_ID
gene_1023	7.66490114303734	2.62107588257833	1979587	2.1.1.60	Calmodulin-lysine N-methyltransferase.	S-adenosyl-L-methionine + calmodulin L-lysine = S-adenosyl-L- homocysteine + calmodulin N6-methyl-L-lysine.	\N	\N	Lysine degradation	Amino Acid Metabolism	METABOLIC	1979841
gene_1061	2.70108372857915	2.0698906761376	1979626	3.1.1.3	Triacylglycerol lipase.	Triacylglycerol + H(2)O = diacylglycerol + a fatty acid anion.	\N	Hepatic lipase deficiency; MIM:151670. Congenital lipase deficiency; MIM:246600. Wolman disease; MIM:278000.	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC	1979880
gene_1552	23.147869923757	2.21592639122409	1980119	3.2.1.21	Beta-glucosidase.	Hydrolysis of terminal, non-reducing beta-D-glucose residues with release of beta-D-glucose.	\N	\N	Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC	1980373
gene_1552	23.147869923757	2.21592639122409	1980119	3.2.1.21	Beta-glucosidase.	Hydrolysis of terminal, non-reducing beta-D-glucose residues with release of beta-D-glucose.	\N	\N	Cyanoamino acid metabolism	Metabolism of Other Amino Acids	METABOLIC	1980373
gene_1552	23.147869923757	2.21592639122409	1980119	3.2.1.21	Beta-glucosidase.	Hydrolysis of terminal, non-reducing beta-D-glucose residues with release of beta-D-glucose.	\N	\N	Flavonoids, stilbene and lignin biosynthesis	Biosynthesis of Secondary Metabolites	METABOLIC	1980373
gene_2068	8.07801081896877	2.31182989127912	1980641	3.2.1.37	Xylan 1,4-beta-xylosidase.	Hydrolysis of 1,4-beta-D-xylans so as to remove successive D-xylose residues from the non-reducing termini.	\N	Xylosidase deficiency; MIM:278900.	Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC	1980895
gene_2068	8.07801081896877	2.31182989127912	1980641	3.2.1.37	Xylan 1,4-beta-xylosidase.	Hydrolysis of 1,4-beta-D-xylans so as to remove successive D-xylose residues from the non-reducing termini.	\N	Xylosidase deficiency; MIM:278900.	Nucleotide sugars metabolism	Nucleotide Metabolism	METABOLIC	1980895
gene_2934	406.580407440463	2.16156817267556	1981506	3.2.1.3	Glucan 1,4-alpha-glucosidase.	Hydrolysis of terminal 1,4-linked alpha-D-glucose residues successively from non-reducing ends of the chains with release of beta-D-glucose.	\N	\N	Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC	1981760
gene_3464	35.0824079339567	2.69794772044582	1982037	3.1.1.74	Cutinase.	Cutin + H(2)O = cutin monomers.	\N	\N	\N	\N	\N	1982291
gene_3669	14.6977892554678	3.07452861229074	1982242	3.1.3.1	Alkaline phosphatase.	An orthophosphoric monoester + H(2)O = an alcohol + phosphate.	Zinc; Magnesium.	Hypophosphatasia, adult; MIM:146300. Hypophosphatasia, childhood; MIM:241510. Hypophosphatasia, infantile; MIM:214500.	Folate biosynthesis	Metabolism of Cofactors and Vitamins	METABOLIC	1982496
